"id_invoice";"tanggal";"id_customer";"nama_customer";"cabang_sales";"id_distributor";"group_category";"total_barang";"total_pembelian"
IN5997;"20/01/22";CUST55380;APOTEK TAPAK;Aceh;EPM;Apotek;5;2795500
IN6023;"01/02/22";CUST55399;KLINIK SAHABAT;Tangerang;TD;Klinik;7;4242000
IN6024;"27/01/22";CUST55394;KLINIK DR. ANDRI;Lampung;TD;Klinik;7;2681200
IN6028;"30/01/22";CUST55420;APOTEK MERDEKA;Bandung;TA;Apotek;10;16192900
IN6029;"28/01/22";CUST55389;KLINIK GM;Jakarta;TA;Klinik;9;2916700
IN6036;"27/01/22";CUST55388;APOTEK MAJA;Kuningan;TA;Apotek;4;1441000
IN6052;"23/01/22";CUST55385;APOTEK SINAR JAYA;Bekasi;TA;Apotek;3;455000
IN6063;"01/02/22";CUST55417;APOTEK TAPAK;Aceh;EPM;Apotek;10;9545200
IN6064;"02/02/22";CUST55380;APOTEK TAPAK;Aceh;EPM;Apotek;2;1716000
IN6089;"25/01/22";CUST55386;APOTEK SAHABAT;Padang;EPM;Apotek;1;582300
IN6102;"31/01/22";CUST55392;APOTEK SINAR JAYA;Bekasi;TA;Apotek;2;1739800
IN6113;"01/02/22";CUST55382;KLINIK GM;Jakarta;TA;Klinik;4;1274000
IN6131;"28/01/22";CUST55418;APOTEK MAJA;Kuningan;TA;Apotek;2;877000
IN6144;"22/01/22";CUST55383;APOTEK MERDEKA;Bandung;TA;Apotek;5;1963000
IN6155;"21/01/22";CUST55382;KLINIK GM;Jakarta;TA;Klinik;8;3788000
IN6184;"28/01/22";CUST55395;APOTEK TAPAK;Aceh;EPM;Apotek;4;1903500
IN6190;"23/01/22";CUST55390;APOTEK MERDEKA;Bandung;TA;Apotek;1;3840000
IN6195;"31/01/22";CUST55398;APOTEK MERDEKA;Bandung;TA;Apotek;3;2969000
IN6245;"30/01/22";CUST55397;KLINIK GM;Jakarta;TA;Klinik;1;333200
IN6251;"23/01/22";CUST55387;APOTEK TAPAK;Aceh;EPM;Apotek;9;2369900
IN6259;"01/02/22";CUST55405;APOTEK MERDEKA;Bandung;TA;Apotek;5;5066000
IN6280;"23/01/22";CUST55384;KLINIK SAHABAT;Tangerang;TD;Klinik;7;2905000
IN6287;"30/01/22";CUST55391;KLINIK SAHABAT;Tangerang;TD;Klinik;3;3020000
IN6297;"20/01/22";CUST55381;APOTEK MAJA;Kuningan;TA;Apotek;4;2335400
IN6301;"01/02/22";CUST55393;APOTEK SAHABAT;Padang;EPM;Apotek;4;1307200
IN6306;"27/01/22";CUST55430;APOTEK SINAR JAYA;Bekasi;TA;Apotek;3;7020500
IN6307;"23/01/22";CUST55396;APOTEK MAJA;Kuningan;TA;Apotek;7;4200400
IN6308;"23/01/22";CUST55397;KLINIK GM;Jakarta;TA;Klinik;2;1158000
